,Batch Size,Epochs,Dropout Rate,LSTM Cells,Days to Use
0,8,50,0.2,64,7
1,8,50,0.2,64,15
2,8,50,0.2,64,28
3,8,50,0.2,64,45
4,8,50,0.2,64,80
5,8,50,0.2,128,7
6,8,50,0.2,128,15
7,8,50,0.2,128,28
8,8,50,0.2,128,45
9,8,50,0.2,128,80
10,8,50,0.2,256,7
11,8,50,0.2,256,15
12,8,50,0.2,256,28
13,8,50,0.2,256,45
14,8,50,0.2,256,80
15,8,50,0.4,64,7
16,8,50,0.4,64,15
17,8,50,0.4,64,28
18,8,50,0.4,64,45
19,8,50,0.4,64,80
20,8,50,0.4,128,7
21,8,50,0.4,128,15
22,8,50,0.4,128,28
23,8,50,0.4,128,45
24,8,50,0.4,128,80
25,8,50,0.4,256,7
26,8,50,0.4,256,15
27,8,50,0.4,256,28
28,8,50,0.4,256,45
29,8,50,0.4,256,80
30,8,100,0.2,64,7
31,8,100,0.2,64,15
32,8,100,0.2,64,28
33,8,100,0.2,64,45
34,8,100,0.2,64,80
35,8,100,0.2,128,7
36,8,100,0.2,128,15
37,8,100,0.2,128,28
38,8,100,0.2,128,45
39,8,100,0.2,128,80
40,8,100,0.2,256,7
41,8,100,0.2,256,15
42,8,100,0.2,256,28
43,8,100,0.2,256,45
44,8,100,0.2,256,80
45,8,100,0.4,64,7
46,8,100,0.4,64,15
47,8,100,0.4,64,28
48,8,100,0.4,64,45
49,8,100,0.4,64,80
50,8,100,0.4,128,7
51,8,100,0.4,128,15
52,8,100,0.4,128,28
53,8,100,0.4,128,45
54,8,100,0.4,128,80
55,8,100,0.4,256,7
56,8,100,0.4,256,15
57,8,100,0.4,256,28
58,8,100,0.4,256,45
59,8,100,0.4,256,80
60,8,150,0.2,64,7
61,8,150,0.2,64,15
62,8,150,0.2,64,28
63,8,150,0.2,64,45
64,8,150,0.2,64,80
65,8,150,0.2,128,7
66,8,150,0.2,128,15
67,8,150,0.2,128,28
68,8,150,0.2,128,45
69,8,150,0.2,128,80
70,8,150,0.2,256,7
71,8,150,0.2,256,15
72,8,150,0.2,256,28
73,8,150,0.2,256,45
74,8,150,0.2,256,80
75,8,150,0.4,64,7
76,8,150,0.4,64,15
77,8,150,0.4,64,28
78,8,150,0.4,64,45
79,8,150,0.4,64,80
80,8,150,0.4,128,7
81,8,150,0.4,128,15
82,8,150,0.4,128,28
83,8,150,0.4,128,45
84,8,150,0.4,128,80
85,8,150,0.4,256,7
86,8,150,0.4,256,15
87,8,150,0.4,256,28
88,8,150,0.4,256,45
89,8,150,0.4,256,80
90,32,50,0.2,64,7
91,32,50,0.2,64,15
92,32,50,0.2,64,28
93,32,50,0.2,64,45
94,32,50,0.2,64,80
95,32,50,0.2,128,7
96,32,50,0.2,128,15
97,32,50,0.2,128,28
98,32,50,0.2,128,45
99,32,50,0.2,128,80
100,32,50,0.2,256,7
101,32,50,0.2,256,15
102,32,50,0.2,256,28
103,32,50,0.2,256,45
104,32,50,0.2,256,80
105,32,50,0.4,64,7
106,32,50,0.4,64,15
107,32,50,0.4,64,28
108,32,50,0.4,64,45
109,32,50,0.4,64,80
110,32,50,0.4,128,7
111,32,50,0.4,128,15
112,32,50,0.4,128,28
113,32,50,0.4,128,45
114,32,50,0.4,128,80
115,32,50,0.4,256,7
116,32,50,0.4,256,15
117,32,50,0.4,256,28
118,32,50,0.4,256,45
119,32,50,0.4,256,80
120,32,100,0.2,64,7
121,32,100,0.2,64,15
122,32,100,0.2,64,28
123,32,100,0.2,64,45
124,32,100,0.2,64,80
125,32,100,0.2,128,7
126,32,100,0.2,128,15
127,32,100,0.2,128,28
128,32,100,0.2,128,45
129,32,100,0.2,128,80
130,32,100,0.2,256,7
131,32,100,0.2,256,15
132,32,100,0.2,256,28
133,32,100,0.2,256,45
134,32,100,0.2,256,80
135,32,100,0.4,64,7
136,32,100,0.4,64,15
137,32,100,0.4,64,28
138,32,100,0.4,64,45
139,32,100,0.4,64,80
140,32,100,0.4,128,7
141,32,100,0.4,128,15
142,32,100,0.4,128,28
143,32,100,0.4,128,45
144,32,100,0.4,128,80
145,32,100,0.4,256,7
146,32,100,0.4,256,15
147,32,100,0.4,256,28
148,32,100,0.4,256,45
149,32,100,0.4,256,80
150,32,150,0.2,64,7
151,32,150,0.2,64,15
152,32,150,0.2,64,28
153,32,150,0.2,64,45
154,32,150,0.2,64,80
155,32,150,0.2,128,7
156,32,150,0.2,128,15
157,32,150,0.2,128,28
158,32,150,0.2,128,45
159,32,150,0.2,128,80
160,32,150,0.2,256,7
161,32,150,0.2,256,15
162,32,150,0.2,256,28
163,32,150,0.2,256,45
164,32,150,0.2,256,80
165,32,150,0.4,64,7
166,32,150,0.4,64,15
167,32,150,0.4,64,28
168,32,150,0.4,64,45
169,32,150,0.4,64,80
170,32,150,0.4,128,7
171,32,150,0.4,128,15
172,32,150,0.4,128,28
173,32,150,0.4,128,45
174,32,150,0.4,128,80
175,32,150,0.4,256,7
176,32,150,0.4,256,15
177,32,150,0.4,256,28
178,32,150,0.4,256,45
179,32,150,0.4,256,80
